BVH,53.1,46.25,49.7,49.9,48.25,-1.45,-2.92,48.2,50.3,48.9,93224,455889
CII,22.05,19.25,20.65,20.6,20.3,-0.35,-1.69,20.1,20.9,20.55,72588,14920.18
CTD,73.8,64.2,69,69,67,-2,-2.9,67,70.5,68.85,42070,28967.29
CTG,22.8,19.9,21.35,21.55,20.9,-0.45,-2.11,20.85,21.6,21.14,730304,154372.7
DXG,11.75,10.25,11,11.05,10.6,-0.4,-3.64,10.55,11.05,10.74,305993,32865.35
EIB,16.4,14.3,15.35,15.3,15.5,0.15,0.98,15.25,15.6,15.42,43686,6738.45
FLC,3.12,2.72,2.92,2.93,2.92,0,0,2.88,2.95,2.91,401894,11679.6
FPT,52.1,45.3,48.7,48.3,48,-0.7,-1.44,47.75,48.9,48.14,243089,117017.34
GAS,76.5,66.5,71.5,72.9,70.9,-0.6,-0.84,70.9,73,71.67,90436,64811.72
GEX,17.5,15.3,16.4,16.65,16.4,0,0,16.3,16.85,16.56,356330,59017.71
GMD,20.9,18.2,19.55,19.65,19.45,-0.1,-0.51,19,19.65,19.27,54094,10426.3
HBC,9.46,8.24,8.85,8.9,8.51,-0.34,-3.84,8.48,8.98,8.66,528128,45734.6
HCM,19.8,17.3,18.55,18.6,18.4,-0.15,-0.81,18.25,18.95,18.57,243385,45196.53
HDB,24.6,21.4,23,23,22.85,-0.15,-0.65,22.55,23.5,22.84,56139,12824.19
HPG,25.6,22.3,23.95,23.95,23.5,-0.45,-1.88,23.4,24.05,23.66,793198,187684.96
HSG,9.69,8.43,9.06,9.1,8.85,-0.21,-2.32,8.77,9.14,8.94,974718,87105.73
KBC,13.95,12.15,13.05,13.1,12.85,-0.2,-1.53,12.75,13.25,12.98,233213,30278.59
MBB,18.5,16.1,17.3,17.4,16.95,-0.35,-2.02,16.95,17.45,17.1,805115,137699.57
MSN,68.3,59.5,63.9,64.5,62.1,-1.8,-2.82,62.1,64.9,63.79,130589,83305.83
MWG,88.8,77.2,83,83.2,82.1,-0.9,-1.08,82,83.8,82.61,110633,91395.25
NLG,26.4,23,24.7,24.7,24.2,-0.5,-2.02,23,24.7,24.08,234614,56501.96
NVL,56.2,48.95,52.6,52.7,52.6,0,0,52.1,53.9,52.79,91237,48160.97
PDR,29.95,26.05,28,28,28,0,0,27.7,28.25,28,58161,16287.62
PLX,48.75,42.45,45.6,45.9,44.5,-1.1,-2.41,44.5,45.95,45.09,124011,55922.75
PNJ,68,59.2,63.6,63.8,62,-1.6,-2.52,61.5,63.9,62.57,138106,86409.5
POW,10.85,9.44,10.15,10.15,10,-0.15,-1.48,9.98,10.35,10.1,677457,68400.11
PPC,26.4,23,24.7,24.7,24.15,-0.55,-2.23,24.15,24.8,24.36,34038,8292.12
PVD,11.05,9.63,10.35,10.6,10.45,0.1,0.97,10.3,10.75,10.51,727041,76428.6
REE,34.15,29.75,31.95,31.95,31.4,-0.55,-1.72,30.9,31.95,31.3,67880,21246.16
ROS,3.69,3.21,3.45,3.47,3.43,-0.02,-0.58,3.42,3.54,3.47,449534,15577.57
SAB,184.2,160.2,172.2,172.2,172.2,0,0,172.2,175,173.63,5862,10178.4
SBT,15.75,13.75,14.75,14.75,14.8,0.05,0.34,14.7,14.95,14.78,214675,31736.08
SSI,15.2,13.3,14.25,14.35,13.95,-0.3,-2.11,13.9,14.45,14.1,373236,52635.59
STB,10.75,9.35,10.05,10.2,9.8,-0.25,-2.49,9.8,10.2,9.93,921112,91505.36
TCB,21.9,19.1,20.5,20.6,20.25,-0.25,-1.22,20,20.6,20.24,299580,60624.3
TCH,24.55,21.35,22.95,23.1,23,0.05,0.22,22.65,23.5,23.07,260115,60000.58
TPB,23.35,20.35,21.85,21.1,21.85,0,0,20.8,21.85,21.34,33851,7222.85
VCB,81.3,70.7,76,76.4,76,0,0,75.6,76.5,75.95,159624,121241.76
VGC,18.2,15.9,17.05,17.05,17.05,0,0,17,17.3,17.1,12236,2092.02
VHM,75.5,65.7,70.6,71,71.6,1,1.42,70.5,72,71.27,155645,110922.2
VIC,102.7,89.3,96,96,97,1,1.04,95.8,97.5,96.66,32765,31671.72
VJC,121.9,106.1,114,114,114,0,0,113.8,114.5,113.97,39639,45175.67
VNM,120.9,105.1,113,113,110.8,-2.2,-1.95,109.4,113.5,111.15,232023,257900.67
VPB,25.3,22,23.65,23.75,23.85,0.2,0.85,23.45,23.95,23.75,506225,120217.99
VRE,25.7,22.4,24.05,24.4,24.1,0.05,0.21,24.1,24.75,24.31,226260,55001.99
