BID,38.7,33.7,36.2,36.45,36,-0.2,-0.55,35.3,36.45,35.89,59291,21280.55,38.5,33.5,36,36.2,35.1,-0.9,-2.5,35.1,36.4,35.54,120568,42847.33,37.55,32.65,35.1,35.1,35.15,0.05,0.14,34.5,35.8,35.08,58949,20680.92,37.6,32.7,35.15,35,35.6,0.45,1.28,35,35.9,35.6,59549,21199.05,38.05,33.15,35.6,35.6,35.3,-0.3,-0.84,35.1,36.4,35.73,65563,23426.19,37.75,32.85,35.3,35.3,35.3,0,0,35.2,35.8,35.39,42765,15133.76,37.75,32.85,35.3,35.45,36,0.7,1.98,35.3,36,35.67,73932,26374.55,Ngan hang
BVH,50.6,44,47.3,47.5,47,-0.3,-0.63,46.4,47.5,46.7,30796,14381.54,50.2,43.75,47,48,46.45,-0.55,-1.17,46.45,48,46.98,28751,13506.55,49.7,43.2,46.45,46.3,46.1,-0.35,-0.75,45.1,46.9,45.9,43368,19904.39,49.3,42.9,46.1,45.6,46.2,0.1,0.22,45.6,46.5,46.24,31269,14458.65,49.4,43,46.2,46,44.1,-2.1,-4.55,44.1,46.45,45.51,44970,20467.88,47.15,41.05,44.1,44,45,0.9,2.04,44,45,44.56,36106,16089.69,48.15,41.85,45,45.2,46.5,1.5,3.33,44.5,46.5,45.15,58755,26527.45,Bao hiem
CTD,60.6,52.8,56.7,56.5,60.6,3.9,6.88,55.5,60.6,58.55,37572,21996.94,64.8,56.4,60.6,61.5,64,3.4,5.61,61.5,64,62.84,46719,29357.66,68.4,59.6,64,63.5,63.8,-0.2,-0.31,62,64.5,63.25,25021,15826.94,68.2,59.4,63.8,62.7,62.7,-1.1,-1.72,62.5,63.8,63.06,24367,15364.75,67,58.4,62.7,62.5,61,-1.7,-2.71,61,62.7,61.83,25852,15984.96,65.2,56.8,61,61,61,0,0,59.5,61.7,60.47,18126,10961.18,65.2,56.8,61,61,65.2,4.2,6.89,61,65.2,63.86,35069,22395.55,Xay dung
CTG,20.5,17.9,19.2,19.2,19.2,0,0,19,19.3,19.11,287110,54875.92,20.5,17.9,19.2,19.4,18.85,-0.35,-1.82,18.85,19.4,19.03,430589,81944.2,20.15,17.55,18.85,18.85,19.05,0.2,1.06,18.7,19.3,19,394284,74919.59,20.35,17.75,19.05,19.3,20,0.95,4.99,19.1,20,19.68,933727,183754.28,21.4,18.6,20,19.75,20.05,0.05,0.25,19.55,20.45,20.09,752676,151227.52,21.45,18.65,20.05,20.05,19.85,-0.2,-1,19.65,20.15,19.85,297638,59089.46,21.2,18.5,19.85,19.95,20.2,0.35,1.76,19.55,20.3,19.96,689067,137512.49,Ngan hang
EIB,16.35,14.25,15.3,15.15,15.3,0,0,15.15,15.4,15.23,19172,2919.47,16.35,14.25,15.3,15.1,15.1,-0.2,-1.31,14.85,15.3,15,43848,6578.93,16.15,14.05,15.1,15,15.15,0.05,0.33,14.85,15.15,15,22353,3352.18,16.2,14.1,15.15,14.9,15,-0.15,-0.99,14.9,15.15,15.06,44386,6684.35,16.05,13.95,15,14.8,15.05,0.05,0.33,14.8,15.1,15.01,28455,4272.36,16.1,14,15.05,15.05,15,-0.05,-0.33,14.7,15.05,14.96,49059,7338.32,16.05,13.95,15,15,15,0,0,14.8,15,14.92,82359,12287.08,Ngan hang
FPT,54.5,47.45,51,50.9,51,0,0,50.1,51.2,50.63,141138,71454.04,54.5,47.45,51,51.5,50.7,-0.3,-0.59,50.5,51.5,50.85,141975,72191.21,54.2,47.2,50.7,50.7,50.7,0,0,50.2,50.8,50.48,97431,49182.49,54.2,47.2,50.7,50.8,50.8,0.1,0.2,50.5,51.4,51.02,134923,68843.38,54.3,47.25,50.8,50.2,50.5,-0.3,-0.59,49.8,50.9,50.44,89553,45174.08,54,47,50.5,50.8,50.9,0.4,0.79,50.4,51,50.7,67799,34376.28,54.4,47.35,50.9,51,52.9,2,3.93,51,53.1,52.39,347015,181788.15,Vien thong
GAS,69.6,60.6,65.1,65.8,65.1,0,0,64.7,66,65.17,58301,37992.39,69.6,60.6,65.1,65.1,64.2,-0.9,-1.38,64,65.9,64.79,47651,30871.43,68.6,59.8,64.2,62.6,62.8,-1.4,-2.18,62.4,64,62.72,77561,48648.45,67.1,58.5,62.8,63,63.4,0.6,0.96,63,64.2,63.59,62386,39673.81,67.8,59,63.4,65,63.8,0.4,0.63,63.6,65.6,64.77,41024,26572.21,68.2,59.4,63.8,65,65.5,1.7,2.66,64,65.5,64.9,65283,42371.35,70,61,65.5,66.7,68.6,3.1,4.73,66.7,68.8,67.54,154063,104049.59,Dau khi
HDB,22,19.2,20.6,20.6,20.6,0,0,20.05,20.6,20.42,207604,42382.39,22,19.2,20.6,20.4,20.5,-0.1,-0.49,20.25,20.8,20.42,176489,36041.63,21.9,19.1,20.5,20.5,20.55,0.05,0.24,20.1,20.7,20.35,165608,33706.56,21.95,19.15,20.55,20.55,20.65,0.1,0.49,20.45,20.7,20.58,210473,43325.57,22.05,19.25,20.65,20.65,21.55,0.9,4.36,20.55,21.65,21.16,181320,38368.02,23.05,20.05,21.55,21.6,21.65,0.1,0.46,21.1,21.7,21.49,117705,25296.98,23.15,20.15,21.65,21.6,21.4,-0.25,-1.15,21.15,21.6,21.34,39386,8405.17,Ngan hang
HPG,23.1,20.1,21.6,21.7,22.1,0.5,2.31,21.3,22.2,21.89,830109,181694.82,23.6,20.6,22.1,22.25,21.95,-0.15,-0.68,21.85,22.6,22.22,663616,147450.52,23.45,20.45,21.95,22,21.4,-0.55,-2.51,21.25,22.1,21.54,768701,165580.99,22.85,19.95,21.4,21.4,21.5,0.1,0.47,21,21.7,21.41,744705,159454.72,23,20,21.5,21.5,21,-0.5,-2.33,21,21.55,21.2,483458,102515.52,22.45,19.55,21,21.4,21.4,0.4,1.9,21.3,21.65,21.47,589453,126531.55,22.85,19.95,21.4,21.55,22.2,0.8,3.74,21.5,22.2,21.9,762094,166864.06,Tap doan
MBB,17.25,15.05,16.15,16,16.05,-0.1,-0.62,15.9,16.15,16.03,266410,42702.6,17.15,14.95,16.05,16.1,15.7,-0.35,-2.18,15.7,16.2,15.85,485301,76934.65,16.75,14.65,15.7,15.8,15.8,0.1,0.64,15.6,15.95,15.73,289782,45579.03,16.9,14.7,15.8,15.9,15.95,0.15,0.95,15.85,16.1,15.95,273479,43616.93,17.05,14.85,15.95,15.95,15.85,-0.1,-0.63,15.85,16.05,15.92,226694,36086.98,16.95,14.75,15.85,15.9,15.8,-0.05,-0.32,15.65,15.95,15.79,251268,39663.08,16.9,14.7,15.8,15.9,15.95,0.15,0.95,15.7,16,15.85,382747,60667.66,Ngan hang
MSN,62.2,54.2,58.2,57.8,59.5,1.3,2.23,57.2,59.5,58.18,121869,70904.34,63.6,55.4,59.5,60,58.5,-1,-1.68,58.5,60.5,59.6,112252,66906.73,62.5,54.5,58.5,58.5,59.7,1.2,2.05,58,60.3,59.4,109523,65055.71,63.8,55.6,59.7,59.7,58.8,-0.9,-1.51,58.8,59.9,59.22,83053,49186.49,62.9,54.7,58.8,57.2,57.3,-1.5,-2.55,57.1,58.7,57.76,114881,66352.29,61.3,53.3,57.3,57.2,56.4,-0.9,-1.57,56.4,57.5,56.72,109898,62335.49,60.3,52.5,56.4,57,58,1.6,2.84,55.7,58,56.83,101998,57964.89,Tap doan
